,DBA Name,Zip,n_failed,n_pwc,n_inspections,n_passed,most_recent_inspection,Chains,recent_pass,recent_pwc,recent_fail
3976,karavites rest inc,60640.0,2,3,17,12,2019-06-06,1,0.0,1.0,0.0
3977,kare inc,60605.0,0,0,1,1,2013-12-10,1,1.0,0.0,0.0
3978,karolinka club,60638.0,0,2,10,6,2019-12-06,1,1.0,0.0,0.0
3979,kasbah restaurant,60641.0,0,0,2,2,2019-11-21,1,0.0,1.0,0.0
3980,kasey's tavern,60605.0,0,1,4,3,2017-09-07,1,1.0,0.0,0.0
3981,katana,60654.0,0,2,7,5,2019-10-22,1,1.0,0.0,0.0
3982,katten muchin rosenman,60661.0,1,0,3,2,2019-04-18,1,1.0,0.0,0.0
3983,kawayan llc,60630.0,0,3,7,4,2019-05-24,1,0.0,1.0,0.0
3984,kaybee's indian flavor,60642.0,1,1,3,0,2019-03-20,1,0.0,1.0,0.0
3985,kazimierzanka,60632.0,0,0,2,0,2020-01-24,1,0.0,1.0,0.0
3986,kc chocolatier,60614.0,1,2,5,2,2017-04-04,1,1.0,0.0,0.0
3987,kebab grill,60618.0,0,0,0,0,2019-09-04,1,0.0,1.0,0.0
3988,kelly's pub,60614.0,3,3,11,4,2019-12-30,1,1.0,0.0,0.0
3989,ken kee restaurant,60616.0,1,0,1,0,2011-07-15,1,1.0,0.0,0.0
3990,ken tone's drive-in since 1968,60616.0,1,0,3,2,2019-08-29,1,0.0,1.0,0.0
3991,ken's,60643.0,1,0,12,7,2019-02-21,1,0.0,1.0,0.0
3992,kenkee restaurant,60616.0,0,0,0,0,2019-04-18,1,1.0,0.0,0.0
3993,kennedy fish & chicken,60649.0,2,2,16,11,2019-01-16,1,0.0,1.0,0.0
3994,kennedy fish chicken and gyros,60653.0,0,0,4,4,2016-10-06,1,1.0,0.0,0.0
3995,kennedy sub,60636.0,5,0,9,4,2017-09-07,1,1.0,0.0,0.0
3996,kenny,60617.0,1,0,1,0,2012-07-18,1,0.0,1.0,0.0
3997,kentucky fried chicken,60609.0,1,0,6,5,2019-08-20,11,0.0,1.0,0.0
3998,kentucky fried chicken,60616.0,1,0,3,2,2019-04-25,11,1.0,0.0,0.0
3999,kentucky fried chicken,60617.0,0,0,9,9,2019-06-24,11,1.0,0.0,0.0
4000,kentucky fried chicken,60618.0,4,2,7,1,2019-10-09,11,1.0,0.0,0.0
4001,kentucky fried chicken,60619.0,1,2,5,2,2019-12-02,11,0.0,1.0,0.0
4002,kentucky fried chicken,60620.0,5,3,14,5,2019-07-08,11,1.0,0.0,0.0
4003,kentucky fried chicken,60632.0,0,0,1,1,2019-06-05,11,1.0,0.0,0.0
4004,kentucky fried chicken,60634.0,0,1,2,1,2019-12-03,11,1.0,0.0,0.0
4005,kentucky fried chicken,60636.0,9,1,19,9,2019-11-01,11,1.0,0.0,0.0
4006,kentucky fried chicken,60638.0,0,0,1,1,2019-05-10,11,1.0,0.0,0.0
4007,kentucky fried chicken,60649.0,0,0,1,1,2019-02-11,11,1.0,0.0,0.0
4008,kentucky fried chicken #5288,60628.0,0,1,3,2,2020-01-24,1,0.0,1.0,0.0
4009,kentucky fried chicken #5289,60639.0,1,1,3,1,2019-01-17,1,0.0,1.0,0.0
4010,kentucky fried chicken #5290,60612.0,2,0,5,3,2019-01-16,1,0.0,1.0,0.0
4011,"kerasotes showplace theaters, llc",60661.0,4,3,14,6,2019-09-05,1,1.0,0.0,0.0
4012,kerelys,60618.0,0,0,1,1,2019-04-18,1,0.0,1.0,0.0
4013,kesha's place,60623.0,0,0,0,0,2019-02-07,1,0.0,1.0,0.0
4014,kevin's hamburger heaven,60609.0,2,1,21,18,2019-12-06,1,0.0,1.0,0.0
4015,kexin restaurant,60619.0,1,1,5,3,2019-06-25,1,0.0,1.0,0.0
4016,kfc,60617.0,0,0,6,6,2019-06-24,9,0.0,1.0,0.0
4018,kfc,60639.0,3,3,11,5,2019-07-10,9,0.0,1.0,0.0
4019,kfc,60640.0,3,1,10,5,2019-02-14,9,0.0,1.0,0.0
4020,kfc,60641.0,2,3,16,11,2019-11-26,9,0.0,1.0,0.0
4021,kfc,60643.0,1,1,3,1,2020-01-10,9,1.0,0.0,0.0
4022,kfc,60644.0,0,1,1,0,2019-01-24,9,1.0,0.0,0.0
4023,kfc,60645.0,3,2,12,7,2019-02-06,9,0.0,1.0,0.0
4024,kfc,60659.0,0,1,1,0,2020-01-02,9,0.0,1.0,0.0
4025,khan bbq restaurant,60659.0,7,6,20,7,2019-10-09,1,0.0,1.0,0.0
4026,khepri cafe,60625.0,0,0,2,0,2020-01-31,1,0.0,0.0,1.0
4027,khosan & taylor,60607.0,2,0,7,5,2019-09-26,1,0.0,1.0,0.0
4028,kibbitznest books & brews,60614.0,0,0,2,2,2017-11-29,1,1.0,0.0,0.0
4029,kickoff sports bar,60630.0,0,0,0,0,2012-10-19,1,1.0,0.0,0.0
4030,kids wonderland,60616.0,0,0,0,0,2019-03-19,1,0.0,1.0,0.0
4031,kids yard,60634.0,0,0,1,1,2017-12-12,1,1.0,0.0,0.0
4032,"kidz can cook,inc",60631.0,1,0,2,1,2019-07-25,1,1.0,0.0,0.0
4033,kie-gol-lanee comida tradicional oaxaquena,60640.0,2,1,8,3,2019-12-10,1,0.0,1.0,0.0
4034,kiki d's b b q house,60609.0,0,2,11,9,2019-06-19,1,0.0,1.0,0.0
4035,kiki's bistro,60610.0,1,4,11,3,2019-08-01,1,0.0,1.0,0.0
4036,kikka,60615.0,0,2,5,3,2019-10-03,2,1.0,0.0,0.0
4037,kikka,60646.0,0,0,8,8,2019-01-23,2,0.0,1.0,0.0
4038,kikka @ whole foods streeterville,60611.0,0,0,5,5,2019-10-29,1,1.0,0.0,0.0
4039,kikka- kingsbury,60642.0,0,0,9,9,2019-06-26,1,1.0,0.0,0.0
4040,kikka-south loop,60607.0,0,2,9,7,2019-03-15,1,1.0,0.0,0.0
4041,kikuya restaurant,60615.0,1,4,14,6,2019-05-15,1,0.0,1.0,0.0
4042,kilwins chocolates & fudge,60615.0,1,1,7,5,2017-08-28,1,1.0,0.0,0.0
4043,kilwins chocolates fudge and ice cream,60604.0,1,0,4,1,2019-12-03,1,1.0,0.0,0.0
4044,kilwins ice cream and chocolate,60657.0,1,0,2,0,2020-01-15,1,0.0,1.0,0.0
4045,kim long restaurant,60639.0,3,4,13,5,2019-09-26,1,0.0,1.0,0.0
4046,kim's home cooking,60625.0,2,2,4,0,2020-01-30,1,1.0,0.0,0.0
4047,kimberli sushi bar & thai,60625.0,0,0,5,2,2019-09-25,1,0.0,1.0,0.0
4048,kimchi pop by chef son,60622.0,1,1,2,0,2019-07-10,1,1.0,0.0,0.0
4049,kimura sushi,60607.0,2,1,5,1,2019-08-27,1,0.0,1.0,0.0
4050,kin japanese cuisine,60622.0,0,0,1,1,2012-05-10,1,0.0,0.0,1.0
4051,kin sushi & thai cuisine,60642.0,0,1,2,1,2019-07-18,1,0.0,1.0,0.0
4052,kincade's,60614.0,3,4,16,9,2019-03-07,1,0.0,1.0,0.0
4053,kindred chicago-central hospital,60641.0,2,6,16,8,2019-10-04,1,0.0,1.0,0.0
4054,king crab house,60614.0,0,0,5,3,2019-02-11,1,0.0,1.0,0.0
4055,king gyros,60620.0,1,0,2,1,2019-09-23,1,0.0,1.0,0.0
4056,king pho plus,60646.0,2,1,4,1,2019-04-30,1,1.0,0.0,0.0
4057,king sweets,60659.0,6,2,14,6,2019-07-11,1,0.0,1.0,0.0
4058,king's bowl,60610.0,4,1,12,5,2019-03-15,1,0.0,1.0,0.0
4059,king's chop suey,60629.0,0,1,9,8,2019-02-05,1,0.0,1.0,0.0
4060,kingfish shrimp inc.,60619.0,0,0,0,0,2018-10-22,1,0.0,1.0,0.0
4061,kingfisher  restaurant,60660.0,1,0,1,0,2011-02-07,1,1.0,0.0,0.0
4062,kings  gyros #2,60630.0,6,2,19,11,2019-08-22,1,0.0,1.0,0.0
4063,kings county tap,60614.0,0,0,0,0,2015-05-19,1,1.0,0.0,0.0
4064,kings gyros,60620.0,0,2,2,0,2012-01-30,1,1.0,0.0,0.0
4065,kings soul food gallery,60619.0,1,0,1,0,2019-03-26,1,0.0,1.0,0.0
4066,kingsbury street cafe,60642.0,0,0,0,0,2011-08-30,1,1.0,0.0,0.0
4067,kingston mines,60614.0,3,2,15,7,2019-05-03,1,0.0,1.0,0.0
4068,kinmont,60654.0,0,0,0,0,2013-11-12,1,1.0,0.0,0.0
4069,kinnaree,60614.0,1,0,5,4,2019-09-24,1,0.0,1.0,0.0
4070,kinton ramen 2,60622.0,0,1,1,0,2019-11-05,1,0.0,1.0,0.0
4071,kinton ramen1,60607.0,0,1,1,0,2019-05-07,1,0.0,1.0,0.0
4072,kinzie hotel,60654.0,0,4,5,1,2020-01-09,1,0.0,1.0,0.0
4073,kinzie st. chop house,60654.0,1,2,10,7,2019-09-10,1,1.0,0.0,0.0
4074,kirkwood bar & grill,60657.0,1,0,8,5,2019-01-23,1,0.0,1.0,0.0
4075,kit kat lounge and restaurant,60613.0,0,3,16,8,2019-09-20,1,0.0,1.0,0.0
4076,kita-o,60657.0,0,0,0,0,2019-06-04,1,1.0,0.0,0.0
4077,kitchen 17,60657.0,1,0,5,4,2019-03-13,1,0.0,1.0,0.0
4078,kitchfix,60613.0,1,0,4,2,2019-10-18,1,0.0,1.0,0.0
4079,kite string cantina,60613.0,1,1,6,3,2019-06-24,1,1.0,0.0,0.0
4080,kitsch'n on roscoe,60618.0,3,1,12,8,2019-09-13,1,1.0,0.0,0.0
4081,kitsune,60618.0,3,0,9,4,2019-03-18,1,0.0,1.0,0.0
4082,kizami,60614.0,1,0,1,0,2020-01-16,1,0.0,1.0,0.0
4083,kizin creole restaurant,60645.0,4,1,10,5,2019-05-21,1,1.0,0.0,0.0
4084,kizuki ramen & izakaya,60610.0,0,0,2,2,2019-09-10,1,1.0,0.0,0.0
4085,kizuki ramen and izakaya,60622.0,2,2,11,5,2019-11-14,1,1.0,0.0,0.0
4086,klay oven kitchen,60661.0,0,0,8,8,2019-03-06,1,0.0,1.0,0.0
4087,klein's bakery & cafe,60613.0,2,0,4,1,2019-03-05,1,0.0,1.0,0.0
4088,kmart #3594,60632.0,3,1,9,5,2015-06-04,1,1.0,0.0,0.0
4089,kmart #4729,60622.0,1,0,1,0,2012-05-31,1,1.0,0.0,0.0
4090,knead,60647.0,0,1,5,2,2019-12-04,1,1.0,0.0,0.0
4091,knife & tine,60614.0,0,0,1,1,2016-12-22,1,1.0,0.0,0.0
4092,kohan japanese restaurant,60607.0,2,1,13,10,2019-09-05,1,0.0,1.0,0.0
4093,koko's mediterranean grill,60622.0,2,0,10,8,2019-08-08,1,0.0,1.0,0.0
