,DBA Name,Zip,n_failed,n_pwc,n_inspections,n_passed,most_recent_inspection,Chains,recent_pass,recent_pwc,recent_fail
0,"""c"" a catering and event company",60634.0,1,0,10,7,2019-04-05,1,1.0,0.0,0.0
1,"""luna empanada shop""",60634.0,0,1,1,0,2020-01-14,1,0.0,1.0,0.0
3,#1 chop suey,60641.0,4,2,19,13,2020-01-24,1,0.0,0.0,1.0
4,"#1 chop suey restaurant, inc",60649.0,0,0,0,0,2019-10-22,1,1.0,0.0,0.0
5,1 2 3 express,60608.0,1,0,2,1,2011-11-23,1,1.0,0.0,0.0
6,1 fish 2 fish,60615.0,0,2,2,0,2019-09-12,1,1.0,0.0,0.0
7,1 n wacker kitchen and bar,60606.0,2,0,4,2,2019-10-04,1,0.0,1.0,0.0
8,"1,4,3,7 soul restaurant",60628.0,0,1,1,0,2019-09-12,1,0.0,1.0,0.0
9,1-94 ribs & grill,60609.0,1,1,4,2,2019-11-05,1,0.0,1.0,0.0
10,10 pin  bowling lounge,60610.0,2,3,8,3,2019-05-20,1,0.0,1.0,0.0
11,1000 liquors / big city tap,60657.0,2,5,11,4,2019-11-07,1,0.0,1.0,0.0
12,10q chicken,60604.0,0,0,0,0,2020-01-21,1,0.0,1.0,0.0
13,11 degrees north,60657.0,2,1,6,2,2019-08-19,1,0.0,1.0,0.0
14,11 dining,60602.0,0,1,2,1,2018-11-05,3,0.0,1.0,0.0
15,11 dining,60606.0,0,1,2,0,2019-07-26,3,1.0,0.0,0.0
16,11 dining,60612.0,1,0,3,2,2019-06-07,3,1.0,0.0,0.0
17,"11 dining,  llc",60603.0,0,1,4,3,2019-01-03,1,1.0,0.0,0.0
18,"11 dining, llc",60605.0,4,0,8,3,2019-11-27,3,1.0,0.0,0.0
19,"11 dining, llc",60606.0,0,0,3,2,2018-09-18,3,1.0,0.0,0.0
20,"11 dining, llc",60607.0,1,2,4,1,2019-10-18,3,0.0,1.0,0.0
21,"11 dining,llc",60631.0,0,0,1,0,2019-05-24,1,0.0,1.0,0.0
22,11 dinning,60611.0,0,0,2,2,2019-10-04,1,0.0,1.0,0.0
23,111 coffee bar,60643.0,1,0,3,0,2019-04-18,1,0.0,1.0,0.0
24,111th street otb,60628.0,2,1,7,4,2016-11-02,1,1.0,0.0,0.0
25,"1234 bbq ribs inc.,",60642.0,1,0,3,2,2012-04-27,1,0.0,0.0,1.0
26,1250 south llc,60605.0,1,0,1,0,2013-08-21,1,1.0,0.0,0.0
27,13 pins tapas & grill,60641.0,0,0,0,0,2011-01-13,1,1.0,0.0,0.0
28,14 parish,60616.0,3,2,8,3,2019-06-05,1,0.0,1.0,0.0
29,"14 w. hubbard, llc",60654.0,0,0,0,0,2013-05-07,1,1.0,0.0,0.0
30,1492 cuban fusion inc,60647.0,2,3,7,2,2019-08-01,1,0.0,1.0,0.0
31,15 / 20 lounge,60616.0,2,0,3,1,2016-03-10,1,1.0,0.0,0.0
32,1555 club,60622.0,0,0,0,0,2014-08-19,1,1.0,0.0,0.0
33,175 sopraffina market caffe llc,60604.0,0,2,13,11,2019-02-27,1,1.0,0.0,0.0
34,1914 club,60613.0,2,0,5,2,2019-03-26,1,1.0,0.0,0.0
35,1st chop suey,60638.0,4,0,15,10,2019-05-13,1,0.0,1.0,0.0
36,"1st hunan spring, inc",60630.0,1,2,8,4,2019-02-21,1,0.0,1.0,0.0
37,2 asian brothers,60625.0,1,1,3,1,2020-01-13,1,0.0,1.0,0.0
38,2 potz & a pan eatery,60637.0,0,1,2,0,2019-11-13,1,0.0,1.0,0.0
39,2 sparrows,60614.0,0,0,0,0,2011-10-03,1,1.0,0.0,0.0
40,20 east,60611.0,0,1,3,2,2019-03-26,1,0.0,1.0,0.0
41,2015 see thru chinese kitchen,60619.0,2,2,8,4,2019-12-03,1,0.0,1.0,0.0
42,"24 hrs gyros & sub inc.,",60649.0,2,0,12,10,2019-02-15,1,0.0,1.0,0.0
43,25 degrees,60654.0,2,4,12,6,2019-05-17,1,0.0,1.0,0.0
44,26th street sugar shack,60616.0,1,1,5,2,2018-03-27,1,1.0,0.0,0.0
45,2934 w diversey llc,60647.0,4,1,6,0,2020-01-16,1,0.0,1.0,0.0
46,3 abejas,60617.0,0,0,1,1,2019-11-07,1,0.0,1.0,0.0
47,3 greens market,60654.0,1,1,5,3,2019-10-25,1,0.0,1.0,0.0
48,3 squares,60640.0,2,1,5,2,2019-06-11,1,0.0,1.0,0.0
49,312 chicago,60602.0,2,1,11,8,2019-04-19,1,0.0,1.0,0.0
50,35th street redhots,60616.0,2,0,6,4,2016-10-03,1,1.0,0.0,0.0
51,360 chicago,60611.0,0,3,7,4,2019-12-23,1,0.0,1.0,0.0
52,3658 fit dance,60647.0,2,0,4,1,2019-12-19,1,0.0,1.0,0.0
53,3811 piramid inc,60618.0,3,3,10,4,2018-08-20,1,0.0,1.0,0.0
54,4 caminos restaurant inc.,60639.0,1,0,1,0,2019-05-22,1,0.0,1.0,0.0
55,4 hermanos too,60646.0,2,1,13,10,2019-04-22,1,0.0,1.0,0.0
56,"4 yolks,inc",60707.0,3,2,17,11,2020-01-13,1,1.0,0.0,0.0
57,42 grams,60640.0,0,0,0,0,2016-12-01,1,1.0,0.0,0.0
58,4301 allstyle buffet,60632.0,0,0,1,0,2019-08-29,1,0.0,1.0,0.0
59,4lw cafe,60647.0,0,0,1,0,2018-08-17,1,0.0,1.0,0.0
60,"5 rabanitos, inc",60608.0,1,2,8,4,2019-09-17,1,0.0,1.0,0.0
61,5 star chicken & fish,60620.0,1,2,15,12,2018-01-11,1,1.0,0.0,0.0
62,5077 kiko meat market,60625.0,4,4,13,5,2019-07-31,1,0.0,1.0,0.0
63,540 cafe,60661.0,3,2,8,3,2019-01-18,1,1.0,0.0,0.0
64,5411 empanadas,60606.0,0,0,2,2,2018-05-18,5,0.0,1.0,0.0
65,5411 empanadas,60613.0,1,2,6,3,2019-10-01,5,1.0,0.0,0.0
66,5411 empanadas,60622.0,2,0,6,4,2019-10-10,5,0.0,1.0,0.0
67,5411 empanadas,60647.0,3,1,8,4,2019-07-29,5,1.0,0.0,0.0
68,5411 empanadas,60657.0,5,2,13,6,2019-08-28,5,1.0,0.0,0.0
69,55th st harold's & fresh lemonade,60609.0,1,1,3,1,2019-07-18,1,0.0,1.0,0.0
70,56th street harold's grill and waffles,60636.0,0,0,1,1,2019-06-10,1,0.0,1.0,0.0
71,"59th fish & chicken, inc.",60637.0,2,1,4,0,2019-06-24,1,1.0,0.0,0.0
72,5g eatery inc llc,60604.0,1,0,1,0,2020-01-16,1,1.0,0.0,0.0
74,6 five chinese restaurant,60606.0,2,2,6,2,2019-02-07,1,0.0,1.0,0.0
75,606 cafe/bar,60622.0,0,0,3,2,2019-05-09,1,0.0,1.0,0.0
76,63 bar & grill,60660.0,0,0,1,0,2013-04-02,1,1.0,0.0,0.0
77,63rd and drexel mobil,60637.0,3,0,6,3,2019-07-26,1,1.0,0.0,0.0
78,65 express,60606.0,2,0,4,2,2019-11-21,1,0.0,1.0,0.0
79,65 poke,60606.0,2,0,3,1,2019-10-15,1,0.0,1.0,0.0
80,"67th st market, inc.",60636.0,0,0,0,0,2018-09-25,1,0.0,1.0,0.0
81,6978 soul food,60707.0,3,5,17,7,2019-09-26,1,1.0,0.0,0.0
82,7 eleven #36793 a,60613.0,1,0,1,0,2013-11-07,1,1.0,0.0,0.0
83,7 lions bar and cellar,60603.0,0,0,0,0,2015-01-26,1,1.0,0.0,0.0
84,7 plates cafe,60614.0,2,1,4,1,2019-11-08,1,0.0,1.0,0.0
85,7-eleven,60607.0,1,3,11,7,2019-05-20,1,0.0,1.0,0.0
86,7-eleven #337288,60654.0,1,2,7,4,2019-12-20,1,1.0,0.0,0.0
87,7-eleven #33908a,60654.0,1,3,6,2,2019-08-15,1,0.0,1.0,0.0
88,7-eleven #34724k,60613.0,0,0,1,1,2020-01-16,1,1.0,0.0,0.0
89,7-eleven #36061 h,60630.0,0,0,0,0,2014-10-09,1,1.0,0.0,0.0
90,7-eleven #36718a,60618.0,0,0,0,0,2013-12-05,1,1.0,0.0,0.0
91,7-eleven #38183a,60602.0,0,0,0,0,2017-11-30,1,1.0,0.0,0.0
92,70 eats,60602.0,0,0,1,1,2019-09-12,1,1.0,0.0,0.0
93,742 nutrition,60642.0,0,0,0,0,2017-03-03,1,0.0,0.0,1.0
94,77 w wacker dr hospitality llc,60601.0,0,0,3,3,2019-07-02,1,1.0,0.0,0.0
95,79th bbq,60628.0,2,0,4,1,2019-09-23,1,0.0,1.0,0.0
96,7greens,60606.0,0,0,1,0,2019-06-26,1,1.0,0.0,0.0
97,80 proof,60610.0,0,0,1,1,2019-05-24,1,0.0,1.0,0.0
98,87th street jerk,60620.0,1,0,1,0,2019-06-17,1,1.0,0.0,0.0
99,8a5e,60609.0,0,0,0,0,2017-11-07,1,1.0,0.0,0.0
100,9 muses bar & grill,60661.0,0,1,9,8,2019-07-15,1,0.0,1.0,0.0
101,90 miles cuban cafe,60647.0,7,5,21,8,2020-01-17,1,1.0,0.0,0.0
102,"90 miles cuban cafe, inc.",60618.0,1,4,10,5,2019-10-01,1,1.0,0.0,0.0
103,90th meridian,60604.0,0,0,1,1,2019-06-11,1,1.0,0.0,0.0
105,a & v snack and deli,60644.0,1,0,1,0,2015-08-13,1,1.0,0.0,0.0
106,a boy named judah llc,60661.0,0,1,3,2,2019-07-18,1,0.0,1.0,0.0
107,a just harvest,60626.0,2,0,12,9,2019-01-16,1,0.0,1.0,0.0
108,a new leaf,60614.0,3,0,7,4,2017-12-05,1,1.0,0.0,0.0
109,a piece of cake bakery inc,60619.0,0,0,1,0,2016-11-29,1,1.0,0.0,0.0
110,"a piece of cake bakery, inc.",60619.0,3,1,6,2,2016-09-28,1,1.0,0.0,0.0
111,a taste of heaven,60640.0,4,0,13,9,2019-11-06,1,0.0,1.0,0.0
112,a tavola,60622.0,2,0,16,6,2019-02-15,1,0.0,1.0,0.0
113,a town wings,60617.0,0,0,0,0,2019-08-09,1,0.0,1.0,0.0
114,a v anthony's,60629.0,0,0,8,8,2019-06-17,1,0.0,1.0,0.0
115,a's restaurant &  pancake house,60634.0,0,1,11,10,2020-01-31,1,0.0,1.0,0.0
116,a-mi-tha restaurant,60646.0,0,1,10,9,2019-03-12,1,0.0,1.0,0.0
117,a. j. hudson's public house,60613.0,6,4,14,4,2019-08-23,1,0.0,1.0,0.0
118,a. p. deli & grill viii,60652.0,3,3,14,8,2019-03-12,1,0.0,1.0,0.0
119,a.p. deli inc. xi,60644.0,3,2,11,6,2019-01-23,2,0.0,1.0,0.0
120,a.p. deli inc. xi,60649.0,0,0,0,0,2019-02-15,2,0.0,1.0,0.0
121,"a.p. deli restaurant group, inc.",60628.0,7,3,19,9,2019-06-07,1,0.0,1.0,0.0
122,a10,60615.0,2,1,14,8,2018-10-16,1,0.0,1.0,0.0
123,"abiquiu cafe, inc",60657.0,1,0,1,0,2011-06-06,1,1.0,0.0,0.0
124,abn amro svcs - main bank,60603.0,0,1,5,4,2015-06-08,1,1.0,0.0,0.0
126,acadia restaurant,60616.0,4,3,15,7,2019-09-26,1,0.0,1.0,0.0
127,acanto,60603.0,1,3,13,9,2019-10-31,1,0.0,1.0,0.0
128,ace bounce,60601.0,0,1,4,3,2019-12-12,1,0.0,1.0,0.0
129,ace hotel chicago,60607.0,4,0,9,5,2019-10-18,1,0.0,1.0,0.0
130,ace icre,60608.0,1,0,1,0,2011-10-07,1,1.0,0.0,0.0
131,ace pizza 2,60619.0,1,0,2,0,2019-08-12,1,0.0,1.0,0.0
132,acme hotel company/the berkshire,60611.0,6,0,15,9,2019-09-27,1,1.0,0.0,0.0
133,activate club nutricional,60629.0,1,0,1,0,2018-06-22,1,1.0,0.0,0.0
134,ada street,60642.0,2,1,15,6,2019-08-22,1,0.0,1.0,0.0
135,add chapter design & art cafe,60631.0,1,0,1,0,2019-07-08,1,0.0,1.0,0.0
136,admiral theatre,60625.0,0,0,1,0,2012-09-04,1,1.0,0.0,0.0
137,admiral's club,60666.0,0,0,4,4,2019-04-24,1,1.0,0.0,0.0
138,adobe gila,60642.0,0,0,0,0,2015-09-01,1,0.0,1.0,0.0
139,adobe gila's,60610.0,0,0,0,0,2015-09-01,1,0.0,1.0,0.0
140,adobo grill,60610.0,2,0,8,5,2019-03-18,1,0.0,1.0,0.0
141,advocate illinois masonic medical center,60657.0,7,9,41,25,2019-10-10,1,0.0,1.0,0.0
142,afc sushi @ jewel osco  #3082,60637.0,0,0,0,0,2019-02-01,1,0.0,1.0,0.0
143,afc sushi @ jewel osco #2500,60607.0,0,1,7,6,2019-01-03,1,0.0,1.0,0.0
144,afc sushi @ jewel osco #2508,60626.0,0,1,8,7,2019-01-25,1,1.0,0.0,0.0
145,afc sushi @ jewel osco #3224,60634.0,1,1,4,2,2019-04-22,1,0.0,1.0,0.0
146,afc sushi @ jewel osco#2502,60614.0,0,1,7,6,2019-12-20,1,0.0,1.0,0.0
147,afc sushi @ lurie childrens hospital,60611.0,0,2,4,2,2019-09-27,1,0.0,1.0,0.0
148,afc sushi @ walgreens #15196,60601.0,1,1,10,8,2019-09-05,1,0.0,1.0,0.0
149,afc sushi@jewel-osco #3241,60622.0,0,2,10,8,2019-05-30,1,0.0,1.0,0.0
150,agami japanese restaurant,60640.0,3,0,17,8,2019-11-05,1,0.0,1.0,0.0
151,agee's pizzeria & grill,60640.0,1,0,1,0,2011-11-07,1,1.0,0.0,0.0
152,ahjoomah's apron corp.,60616.0,4,4,16,8,2019-08-13,1,1.0,0.0,0.0
153,ai japanese restaurant,60654.0,1,0,4,3,2014-04-15,1,0.0,0.0,1.0
154,ain't she sweet cafe,60653.0,0,0,0,0,2019-02-07,1,1.0,0.0,0.0
155,ain't she sweet cafe beverly,60643.0,0,0,2,2,2019-02-15,1,1.0,0.0,0.0
156,air france,60666.0,1,0,4,3,2019-06-18,1,0.0,1.0,0.0
157,ajawaah sweets,60659.0,2,0,6,4,2019-06-18,1,0.0,1.0,0.0
158,aje cafe,60657.0,2,0,10,8,2019-07-16,1,0.0,1.0,0.0
160,al bar b que,60653.0,1,0,4,3,2014-11-05,1,1.0,0.0,0.0
162,al's beef,60618.0,0,1,9,8,2019-03-13,4,0.0,1.0,0.0
163,al's beef,60657.0,0,4,11,7,2019-07-23,4,0.0,1.0,0.0
164,al's beef,60661.0,3,2,15,10,2019-04-26,4,1.0,0.0,0.0
165,al's beef restaurant,60654.0,0,4,10,6,2019-05-09,1,0.0,1.0,0.0
166,al's italian beef inc,60607.0,0,1,13,12,2019-03-25,1,0.0,1.0,0.0
167,al's pizza chicago,60634.0,1,1,7,4,2020-01-31,1,0.0,0.0,1.0
168,al's under the l,60612.0,2,0,10,8,2019-03-21,1,1.0,0.0,0.0
169,alain's restaurant,60605.0,1,0,1,0,2012-07-25,1,1.0,0.0,0.0
170,alaska paleteria y neveria,60618.0,0,0,5,4,2017-04-13,1,1.0,0.0,0.0
171,alba's restaurant,60622.0,0,0,3,3,2019-03-13,1,0.0,1.0,0.0
172,albany mart & grill,60625.0,1,0,1,0,2012-09-05,1,1.0,0.0,0.0
173,albany place bar & grill,60630.0,4,0,6,1,2019-08-21,1,1.0,0.0,0.0
174,alberto's pizza,60626.0,1,3,19,11,2019-10-11,1,0.0,1.0,0.0
175,alcock's inn,60607.0,1,0,1,0,2011-05-02,1,1.0,0.0,0.0
176,alcoiris inc,60639.0,4,2,17,8,2019-11-05,1,1.0,0.0,0.0
177,alegra,60639.0,1,1,3,1,2015-07-13,1,1.0,0.0,0.0
178,alegria's seafood,60622.0,6,4,20,9,2019-09-23,1,0.0,1.0,0.0
179,alejo's boathouse cafe,60622.0,0,0,0,0,2019-10-29,1,0.0,1.0,0.0
180,alex la michoacana,60639.0,0,0,2,1,2019-02-20,1,0.0,1.0,0.0
181,alex la michoacana #1,60639.0,0,0,0,0,2019-05-17,1,1.0,0.0,0.0
182,alexander's,60660.0,1,0,1,0,2019-09-17,1,0.0,1.0,0.0
183,alhambra palace restaurant,60607.0,9,2,24,12,2019-10-18,1,0.0,1.0,0.0
184,ali baba doner,60614.0,1,0,1,0,2019-02-13,1,1.0,0.0,0.0
185,alibaba cafe,60630.0,1,2,8,5,2019-01-08,1,0.0,1.0,0.0
186,alibaba retro,60656.0,1,0,17,8,2019-07-29,1,0.0,1.0,0.0
187,alice's bar b que,60653.0,2,0,8,6,2019-11-19,1,0.0,1.0,0.0
188,alinea restaurant llc,60614.0,2,2,16,7,2019-03-08,1,0.0,1.0,0.0
189,alinea: progression,60607.0,0,0,0,0,2016-03-25,1,1.0,0.0,0.0
190,all seaysoned,60611.0,0,0,4,3,2015-06-11,1,1.0,0.0,0.0
191,allende restaurant,60614.0,1,2,12,9,2019-01-18,1,0.0,1.0,0.0
192,allende restaurant #2,60614.0,2,0,10,8,2019-02-21,1,0.0,1.0,0.0
193,"alley coffee, llc",60607.0,0,0,1,0,2019-05-23,1,0.0,1.0,0.0
194,alley dogs inc,60618.0,2,2,10,6,2019-08-22,1,0.0,1.0,0.0
195,alliance patisserie,60654.0,1,2,5,2,2019-08-01,1,1.0,0.0,0.0
196,aloft hotel chicago city center,60654.0,0,0,5,5,2015-12-11,1,1.0,0.0,0.0
197,aloha grill hawaiian bbq inc.,60614.0,5,2,15,8,2019-10-11,1,0.0,1.0,0.0
198,aloha poke,60610.0,1,0,2,1,2019-04-15,4,0.0,1.0,0.0
199,aloha poke,60611.0,0,0,2,2,2019-05-24,4,0.0,1.0,0.0
200,aloha poke,60614.0,0,1,2,1,2019-03-13,4,0.0,1.0,0.0
201,aloha poke,60615.0,0,1,2,1,2019-09-20,4,1.0,0.0,0.0
202,aloha poke belmont llc,60657.0,0,2,4,2,2019-10-29,1,0.0,1.0,0.0
203,aloha poke llc,60661.0,0,2,5,3,2019-03-19,1,0.0,1.0,0.0
204,"aloha poke loyola, llc",60626.0,1,0,2,1,2019-03-21,1,0.0,1.0,0.0
205,aloha poke madison,60606.0,0,0,1,1,2019-06-10,1,0.0,1.0,0.0
206,aloha wagon,60608.0,0,0,2,2,2019-05-16,1,0.0,1.0,0.0
207,alonti deli,60606.0,4,4,15,7,2019-11-18,1,0.0,1.0,0.0
208,althea by mkc,60611.0,0,1,3,2,2019-05-30,1,1.0,0.0,0.0
209,altiro,60618.0,2,0,10,6,2019-05-22,1,0.0,1.0,0.0
211,alulu,60608.0,2,0,8,3,2019-04-03,1,0.0,1.0,0.0
212,alvaro jimenez,60609.0,0,0,0,0,2012-06-07,1,0.0,0.0,1.0
213,always thai,60613.0,2,2,12,8,2019-01-16,1,0.0,1.0,0.0
214,aly's icecream shop & juice bar,60652.0,1,0,2,0,2018-08-13,1,0.0,1.0,0.0
215,am thai restaurant,60618.0,0,2,3,1,2019-03-20,1,0.0,1.0,0.0
216,amalfi hotel,60654.0,1,1,7,5,2015-03-05,1,1.0,0.0,0.0
217,amarind's restaurant,60707.0,4,2,13,7,2020-01-17,1,0.0,1.0,0.0
218,amarit restaurant,60605.0,4,0,15,11,2019-12-04,1,1.0,0.0,0.0
219,amaru,60622.0,2,1,3,0,2019-07-12,1,0.0,1.0,0.0
220,amato's pizzeria inc,60707.0,0,0,1,0,2019-04-18,1,1.0,0.0,0.0
221,amatos pizza,60614.0,3,0,13,10,2019-09-13,1,0.0,1.0,0.0
222,ambassador chicago hotel and restaurant,60610.0,1,0,2,1,2019-10-21,1,0.0,1.0,0.0
223,ambassador public house,60661.0,1,1,4,2,2019-06-10,1,1.0,0.0,0.0
224,amber's food & deli,60621.0,1,0,2,0,2016-06-24,1,1.0,0.0,0.0
225,amc dine-in theatres block 37,60602.0,0,2,7,5,2019-03-28,1,1.0,0.0,0.0
226,amc theatres 600 north michigan 9,60611.0,0,1,3,2,2019-11-20,1,0.0,1.0,0.0
227,amc theatres ford city 14,60652.0,1,2,9,6,2019-05-08,1,0.0,1.0,0.0
228,amc theatres galewood 14,60639.0,2,0,6,4,2019-07-24,1,1.0,0.0,0.0
229,amc theatres river east 21,60611.0,1,4,10,5,2017-12-22,1,1.0,0.0,0.0
230,ameer kabob,60642.0,6,3,17,7,2019-04-05,1,0.0,1.0,0.0
231,america's dog,60666.0,4,6,21,11,2019-11-14,1,1.0,0.0,0.0
232,america's dog inc.,60611.0,0,0,0,0,2018-06-14,1,1.0,0.0,0.0
233,american airlines,60666.0,2,3,14,9,2019-10-04,1,1.0,0.0,0.0
234,american girl place,60611.0,0,1,6,5,2019-11-05,1,1.0,0.0,0.0
235,american junkie,60654.0,0,0,0,0,2013-02-28,1,1.0,0.0,0.0
236,american wildburger,60661.0,1,2,4,1,2020-01-30,1,1.0,0.0,0.0
237,americana submarine,60605.0,1,8,14,5,2019-12-06,1,0.0,1.0,0.0
238,americano 2211,60647.0,0,0,0,0,2016-05-17,1,1.0,0.0,0.0
239,americanos,60643.0,3,1,6,2,2020-01-24,1,0.0,1.0,0.0
240,amigo de la nutricion,60651.0,0,0,0,0,2019-11-13,1,0.0,1.0,0.0
241,amigos de la nutricion,60639.0,1,0,1,0,2012-08-10,1,1.0,0.0,0.0
242,amorino chicago,60610.0,4,0,8,3,2019-11-19,1,0.0,1.0,0.0
243,ampersand restaurant,60625.0,0,0,0,0,2015-07-14,1,1.0,0.0,0.0
244,amstar fuel & mini mart,60617.0,2,1,4,1,2019-03-01,1,0.0,1.0,0.0
245,ana l. camargo,60660.0,0,0,1,1,2019-07-31,1,0.0,1.0,0.0
246,analogue,60647.0,0,0,0,0,2015-08-04,1,1.0,0.0,0.0
247,"anatolia kitchen & bakery, inc.",60657.0,1,1,3,1,2019-11-07,1,1.0,0.0,0.0
248,andhradarbar,60659.0,2,2,5,0,2019-10-31,1,1.0,0.0,0.0
249,andiamo restaurant & pizzaria inc.,60657.0,2,3,9,3,2019-11-19,1,0.0,1.0,0.0
250,andies restaurant,60640.0,2,4,14,7,2019-03-08,1,0.0,1.0,0.0
251,"andy balegh,inc.",60636.0,1,0,2,1,2015-06-30,1,1.0,0.0,0.0
252,andy's cafe,60647.0,0,0,1,1,2013-10-31,1,1.0,0.0,0.0
254,andy's thai kitchen,60657.0,4,4,13,5,2019-04-08,1,0.0,1.0,0.0
255,andy's thai kitchen iii,60614.0,0,0,0,0,2019-04-26,1,1.0,0.0,0.0
256,andys 11 east lounge,60611.0,2,1,11,6,2019-10-23,1,1.0,0.0,0.0
257,angel's frozen yogurt & ice cream inc.,60638.0,0,0,0,0,2018-11-27,1,0.0,1.0,0.0
258,angela's burrito style,60614.0,1,3,12,8,2020-01-22,1,0.0,1.0,0.0
259,angelina ristorante,60657.0,4,3,14,3,2019-09-26,1,1.0,0.0,0.0
260,angelo's stuffed pizza corp,60632.0,7,0,16,9,2019-06-05,1,0.0,1.0,0.0
261,angelo's wine bar,60618.0,0,1,1,0,2019-11-15,1,0.0,1.0,0.0
262,angie's,60652.0,0,3,9,6,2019-03-06,1,0.0,1.0,0.0
263,angry crab,60622.0,0,1,8,6,2019-04-22,1,0.0,1.0,0.0
264,angry pig tavern,60647.0,1,0,1,0,2018-03-30,1,1.0,0.0,0.0
265,animale,60647.0,1,0,1,0,2016-05-27,1,1.0,0.0,0.0
266,anixter center,60614.0,0,1,3,2,2017-11-07,1,1.0,0.0,0.0
267,anmol barbeque,60659.0,1,0,1,0,2020-01-17,1,1.0,0.0,0.0
268,ann sather restaurant,60657.0,1,2,9,6,2019-05-08,1,0.0,1.0,0.0
269,ann sather restaurant granville,60660.0,3,3,12,6,2019-04-25,1,1.0,0.0,0.0
270,ann sather's cafe,60657.0,1,1,10,8,2019-06-18,1,1.0,0.0,0.0
271,anna maria pasteria,60640.0,3,0,13,7,2019-05-21,1,0.0,1.0,0.0
272,anna purana fast food,60659.0,7,4,17,6,2019-02-20,1,0.0,1.0,0.0
274,annoyance productions,60657.0,3,0,9,5,2020-01-02,1,0.0,1.0,0.0
275,anteprima,60640.0,3,1,13,6,2019-02-19,1,0.0,1.0,0.0
276,antica pizzeria,60660.0,0,0,0,0,2013-07-18,1,1.0,0.0,0.0
277,antico,60647.0,2,0,17,6,2019-10-28,1,0.0,1.0,0.0
278,antique taco,60622.0,2,2,6,2,2019-03-07,1,0.0,1.0,0.0
279,antique taco bridgeport,60609.0,2,1,7,4,2019-11-26,1,1.0,0.0,0.0
280,antique taco chiquito,60603.0,0,0,4,4,2019-11-08,1,0.0,1.0,0.0
281,anto pizza chicago,60626.0,1,1,3,0,2019-02-26,1,1.0,0.0,0.0
282,antojitos durango,60652.0,1,0,1,0,2018-06-27,1,1.0,0.0,0.0
283,antojitos guatemaltecos,60639.0,0,0,0,0,2019-09-20,1,0.0,1.0,0.0
284,antojitos majicos la michoacan,60625.0,0,0,0,0,2018-09-21,1,0.0,0.0,1.0
287,aodake asian bistro,60640.0,1,0,1,0,2014-03-21,1,1.0,0.0,0.0
288,apollo's 2000,60623.0,2,2,13,6,2019-10-21,1,0.0,1.0,0.0
289,applebee's neighborhood grill & bar,60652.0,0,0,0,0,2013-09-19,2,1.0,0.0,0.0
290,applebee's neighborhood grill & bar,60707.0,3,5,15,7,2019-06-12,2,1.0,0.0,0.0
291,aquarius club & restaurant,60639.0,4,1,11,6,2019-02-01,1,1.0,0.0,0.0
292,ara on,60603.0,1,2,11,8,2019-07-08,1,0.0,1.0,0.0
293,aramark,60603.0,0,1,1,0,2011-08-19,5,1.0,0.0,0.0
295,aramark,60625.0,2,1,8,5,2019-12-13,5,0.0,1.0,0.0
296,aramark,60637.0,2,1,3,0,2012-10-30,5,0.0,1.0,0.0
297,aramark,60660.0,4,3,17,10,2019-11-26,5,0.0,1.0,0.0
298,aramark & loyola damen,60626.0,4,3,14,7,2019-11-18,1,1.0,0.0,0.0
299,aramark @ information resources,60661.0,0,1,8,7,2019-04-30,1,0.0,1.0,0.0
300,aramark @ loyola denobili,60660.0,2,3,10,5,2019-06-28,1,1.0,0.0,0.0
301,aramark @ loyola green,60660.0,0,1,8,7,2019-10-11,1,1.0,0.0,0.0
303,aramark at boeing,60606.0,2,4,11,5,2019-05-07,1,0.0,1.0,0.0
304,aramark at deloitte,60606.0,1,1,5,3,2019-11-27,1,0.0,1.0,0.0
305,aramark at sweetheart cup,60652.0,0,1,2,1,2019-03-01,1,1.0,0.0,0.0
306,aramark education services,60659.0,0,0,0,0,2019-03-05,2,1.0,0.0,0.0
307,aramark education services,60827.0,0,0,1,1,2020-01-10,2,1.0,0.0,0.0
308,aramark educational services,60618.0,0,0,0,0,2019-03-01,2,1.0,0.0,0.0
309,aramark educational services,60643.0,0,0,1,1,2019-03-01,2,1.0,0.0,0.0
310,"aramark educational services, inc",60611.0,2,3,12,7,2019-04-18,1,0.0,1.0,0.0
311,"aramark educational services, inc.",60611.0,0,0,1,1,2016-06-17,1,1.0,0.0,0.0
312,"aramark educational services, llc",60626.0,1,1,3,1,2013-10-03,1,1.0,0.0,0.0
313,aramark services  inc-  harris bank,60603.0,1,1,10,8,2019-11-18,1,0.0,1.0,0.0
314,aramark services @ harris bank,60603.0,0,0,8,8,2019-11-18,1,0.0,1.0,0.0
315,"aramark services, inc",60605.0,0,0,1,1,2019-09-11,1,1.0,0.0,0.0
316,aramark-field museum,60605.0,4,1,12,7,2019-06-06,1,0.0,1.0,0.0
317,aramark-soldier field,60605.0,11,8,27,8,2019-09-10,1,0.0,1.0,0.0
318,aramark@ loyola simpson  residential,60660.0,2,4,13,7,2019-10-29,1,1.0,0.0,0.0
319,aramark@loyola halas cafe,60626.0,1,1,5,2,2019-12-02,1,0.0,1.0,0.0
320,arami,60622.0,1,4,15,7,2019-08-26,1,0.0,1.0,0.0
321,arami/woodgrain,60638.0,3,0,8,5,2019-11-18,1,0.0,1.0,0.0
