FileName,Well,Sample Description,Size [bp],Calibrated Conc. [pg/µl],Assigned Conc. [pg/µl],Peak Molarity [pmol/l],% Integrated Area,Peak Comment,Observations
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,25,340,,20900,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,50,265,,8160,11.28,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,100,278,,4270,11.82,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,200,290,,2230,12.32,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,300,304,,1560,12.95,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,400,306,,1180,13.00,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,500,312,,961,13.29,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,700,286,,629,12.19,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,1000,309,,476,13.15,,
2020-02-03 - 11.25.42.HSD1000,EL1,Electronic Ladder,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,A1,Lot41_-DTT_1,25,355,,21800,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,A1,Lot41_-DTT_1,464,156,,519,100.00,,
2020-02-03 - 11.25.42.HSD1000,A1,Lot41_-DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,B1,Lot41_-DTT_2,25,437,,26900,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,B1,Lot41_-DTT_2,54,176,,5040,40.33,,
2020-02-03 - 11.25.42.HSD1000,B1,Lot41_-DTT_2,465,260,,860,59.67,,
2020-02-03 - 11.25.42.HSD1000,B1,Lot41_-DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,C1,Lot41_+DTT_1,25,352,,21600,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,C1,Lot41_+DTT_1,464,468,,1550,100.00,,
2020-02-03 - 11.25.42.HSD1000,C1,Lot41_+DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,D1,Lot41_+DTT_2,25,389,,23900,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,D1,Lot41_+DTT_2,418,1720,,6350,100.00,,
2020-02-03 - 11.25.42.HSD1000,D1,Lot41_+DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,E1,Lot23_-DTT_1,25,393,,24200,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,E1,Lot23_-DTT_1,71,14.7,,317,5.73,,
2020-02-03 - 11.25.42.HSD1000,E1,Lot23_-DTT_1,321,241,,1160,94.27,,
2020-02-03 - 11.25.42.HSD1000,E1,Lot23_-DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,F1,Lot23_-DTT_2,25,405,,24900,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,F1,Lot23_-DTT_2,410,171,,643,100.00,,
2020-02-03 - 11.25.42.HSD1000,F1,Lot23_-DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,G1,Lot23_+DTT_1,25,402,,24700,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,G1,Lot23_+DTT_1,439,458,,1600,100.00,,
2020-02-03 - 11.25.42.HSD1000,G1,Lot23_+DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,H1,Lot23_+DTT_2,25,411,,25300,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,H1,Lot23_+DTT_2,443,577,,2000,100.00,,
2020-02-03 - 11.25.42.HSD1000,H1,Lot23_+DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,A2,Lot38B_-DTT_1,25,375,,23100,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,A2,Lot38B_-DTT_1,450,120,,408,100.00,,
2020-02-03 - 11.25.42.HSD1000,A2,Lot38B_-DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,B2,Lot38B_-DTT_2,,118,,,100.00,,
2020-02-03 - 11.25.42.HSD1000,B2,Lot38B_-DTT_2,,250,250,,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,C2,Lot38B_+DTT_1,25,363,,22400,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,C2,Lot38B_+DTT_1,472,726,,2370,100.00,,
2020-02-03 - 11.25.42.HSD1000,C2,Lot38B_+DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,E2,Lot42_-DTT_1,25,365,,22500,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,E2,Lot42_-DTT_1,389,4.40,,17.4,100.00,,
2020-02-03 - 11.25.42.HSD1000,E2,Lot42_-DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,G2,Lot42_+DTT_1,25,395,,24300,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,G2,Lot42_+DTT_1,453,509,,1730,100.00,,
2020-02-03 - 11.25.42.HSD1000,G2,Lot42_+DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,H2,Lot42_+DTT_2,25,413,,25400,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,H2,Lot42_+DTT_2,474,781,,2530,100.00,,
2020-02-03 - 11.25.42.HSD1000,H2,Lot42_+DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,25,340,,20900,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,50,265,,8160,11.28,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,100,278,,4270,11.82,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,200,290,,2230,12.32,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,300,304,,1560,12.95,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,400,306,,1180,13.00,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,500,312,,961,13.29,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,700,286,,629,12.19,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,1000,309,,476,13.15,,
2020-02-03 - 11.25.42.HSD1000,EL2,Electronic Ladder,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,A3,Lot43_-DTT_1,25,382,,23500,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,A3,Lot43_-DTT_1,368,49.6,,207,100.00,,
2020-02-03 - 11.25.42.HSD1000,A3,Lot43_-DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,B3,Lot43_-DTT_2,25,371,,22800,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,B3,Lot43_-DTT_2,45,6.99,,239,16.66,,
2020-02-03 - 11.25.42.HSD1000,B3,Lot43_-DTT_2,365,34.9,,147,83.34,,
2020-02-03 - 11.25.42.HSD1000,B3,Lot43_-DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,C3,Lot43_+DTT_1,25,369,,22700,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,C3,Lot43_+DTT_1,465,3200,,10600,100.00,,
2020-02-03 - 11.25.42.HSD1000,C3,Lot43_+DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,D3,Lot43_+DTT_2,25,397,,24400,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,D3,Lot43_+DTT_2,427,836,,3010,100.00,,
2020-02-03 - 11.25.42.HSD1000,D3,Lot43_+DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,E3,Lot46_-DTT_1,25,387,,23800,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,E3,Lot46_-DTT_1,350,30.8,,135,100.00,,
2020-02-03 - 11.25.42.HSD1000,E3,Lot46_-DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,F3,Lot46_-DTT_2,25,396,,24400,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,F3,Lot46_-DTT_2,251,78.9,,484,69.16,,
2020-02-03 - 11.25.42.HSD1000,F3,Lot46_-DTT_2,339,35.2,,160,30.84,,
2020-02-03 - 11.25.42.HSD1000,F3,Lot46_-DTT_2,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,G3,Lot46_+DTT_1,25,393,,24200,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,G3,Lot46_+DTT_1,457,521,,1760,100.00,,
2020-02-03 - 11.25.42.HSD1000,G3,Lot46_+DTT_1,1500,250,250,256,,,Upper Marker
2020-02-03 - 11.25.42.HSD1000,H3,Lot46_+DTT_2,25,405,,24900,,,Lower Marker
2020-02-03 - 11.25.42.HSD1000,H3,Lot46_+DTT_2,456,2200,,7430,100.00,,
2020-02-03 - 11.25.42.HSD1000,H3,Lot46_+DTT_2,1500,250,250,256,,,Upper Marker
